#count	mode	opcode	ext	mnemonic	rm
2016150	16	0F B2	-	?	m
2001704	16	C9	-	?	r
1949868	32	80	/7	?	r
1924022	32	5A	-	?	r
1907350	32	FF	/1	?	m
1802923	16	2C	-	?	r
1776709	32	0F 82	-	?	r
1760852	32	23	-	?	r
1666805	32	FC	-	?	r
1647373	32	81	/7	?	r
1637008	32	A5	-	?	r
1610495	16	01	-	?	m
1517716	16	38	-	?	r
1517440	16	7B	-	?	r
1503847	32	47	-	?	r
1473290	16	0F 85	-	?	r
1416526	16	80	/4	?	r
1398804	16	2B	-	?	r
1383251	16	FF	/1	?	m
1358713	32	46	-	?	r
1356066	16	0F 87	-	?	r
1336518	16	CA	-	?	r
1321731	32	1B	-	?	r
1295294	16	F8	-	?	r
1259603	32	83	/2	?	r
1243554	16	C8	-	?	r
1199238	32	19	-	?	r
1199201	32	B0	-	?	r
1199193	32	78	-	?	r
1199188	32	0F 88	-	?	r
1167423	16	84	-	?	r
1151455	32	80	/1	?	m
1132257	32	80	/4	?	m
1110842	32	41	-	?	r
1103690	32	25	-	?	r
1103093	32	C9	-	?	r
1097915	16	39	-	?	r
1092808	32	E3	-	?	r
1090577	16	BF	-	?	r
1089313	32	84	-	?	r
1085474	32	40	-	?	r
1081453	16	87	-	?	r
1079991	16	83	/7	?	r
1056902	32	F7	/0	?	m
1056640	16	0F 86	-	?	r
1053189	16	13	-	?	r
1043856	32	8E	-	?	r
1042507	16	BA	-	?	r
1040784	16	BE	-	?	r
1037168	16	B0	-	?	r
1035510	16	88	-	?	r
1033060	32	7F	-	?	r
1029174	16	B1	-	?	r
1028787	16	BD	-	?	r
1023903	16	FF	/4	?	m
1022335	16	F9	-	?	r
1019652	16	91	-	?	r
1016795	16	80	/1	?	m
1016214	16	83	/1	?	m
1014138	16	23	-	?	r
1012810	16	83	/4	?	m
1011147	16	F6	/4	?	r
1010125	16	F5	-	?	r
1008857	32	38	-	?	m
1007362	16	F6	/6	?	r
1006661	16	F6	/2	?	r
999406	32	BF	-	?	r
967133	32	24	-	?	r
965364	32	C0	/5	?	r
962734	16	E3	-	?	r
959370	16	A4	-	?	r
912177	32	0A	-	?	m
895946	16	4D	-	?	r
895706	32	1A	-	?	r
880593	32	8F	/0	?	m
875869	16	C0	/1	?	r
844851	32	99	-	?	r
794492	32	7C	-	?	r
788829	16	34	-	?	r
783926	32	33	-	?	m
781803	32	AD	-	?	r
777107	32	02	-	?	r
764247	32	F9	-	?	r
742348	32	43	-	?	r
702712	32	39	-	?	r
702184	16	0F 8F	-	?	r
691931	32	0F 87	-	?	r
691665	16	0F A4	-	?	r
690768	16	7F	-	?	r
678570	32	4A	-	?	r
671513	16	02	-	?	m
