count	shape	phase	mode	bytes	len	osz	asz	seg	rep	pfxn	op	fixg	kind	mod	reg	rm	b	x	s	disp	dispbits	modrmbits	imm	immbits	ok	text	fields
3298	32:032d	1	32	032d00c21480	6	4	4	-	-	0	03	-	abs32	0	5	5	-	-	-	-2146123264	32	40	-	0	1	add ebp, [0x8014C200]	op@0:8=03 mod@14:2=0 reg@11:3=5 rm@8:3=5 disp@16:32=-2146123264
3294	16:6689d6	1	16	6689d6	3	4	2	-	-	1	89	-	reg_direct	3	2	6	-	-	-	-	0	8	-	0	1	mov esi, edx	pfx@0:8=66 op@8:8=89 mod@22:2=3 reg@19:3=2 rm@16:3=6
3288	32:3918	1	32	3918	2	4	4	-	-	0	39	-	base	0	3	0	0	-	-	-	0	8	-	0	1	cmp [eax], ebx	op@0:8=39 mod@14:2=0 reg@11:3=3 rm@8:3=0
3288	32:668b19	1	32	668b19	3	2	4	-	-	1	8b	-	base	0	3	1	1	-	-	-	0	8	-	0	1	mov bx, [ecx]	pfx@0:8=66 op@8:8=8b mod@22:2=0 reg@19:3=3 rm@16:3=1
3286	32:66c1e8	1	32	66c1e804	4	2	4	-	-	1	c1	5	reg_direct	3	5	0	-	-	-	-	0	8	0x4	8	1	shr ax, 4	pfx@0:8=66 op@8:8=c1 mod@22:2=3 reg@19:3=5 rm@16:3=0 imm@24:8=0x4
3286	32:66c1e8	1	32	66c1e809	4	2	4	-	-	1	c1	5	reg_direct	3	5	0	-	-	-	-	0	8	0x9	8	1	shr ax, 9	pfx@0:8=66 op@8:8=c1 mod@22:2=3 reg@19:3=5 rm@16:3=0 imm@24:8=0x9
3278	16:6625	1	16	662500000060	6	4	2	-	-	1	25	-	-	-	-	-	-	-	-	-	0	0	0x60000000	32	1	and eax, 0x60000000	pfx@0:8=66 op@8:8=25 imm@16:32=0x60000000
3278	16:6625	1	16	6625ee000000	6	4	2	-	-	1	25	-	-	-	-	-	-	-	-	-	0	0	0xee	32	1	and eax, 0xEE	pfx@0:8=66 op@8:8=25 imm@16:32=0xee
3277	32:0945	1	32	0945e4	3	4	4	-	-	0	09	-	base_d8	1	0	5	5	-	-	-28	8	16	-	0	1	or [ebp-0x1C], eax	op@0:8=09 mod@14:2=1 reg@11:3=0 rm@8:3=5 disp@16:8=-28
3277	32:0945	1	32	0945f4	3	4	4	-	-	0	09	-	base_d8	1	0	5	5	-	-	-12	8	16	-	0	1	or [ebp-0xC], eax	op@0:8=09 mod@14:2=1 reg@11:3=0 rm@8:3=5 disp@16:8=-12
3266	16:83f9	1	16	83f900	3	2	2	-	-	0	83	7	reg_direct	3	7	1	-	-	-	-	0	8	0x0	8	1	cmp cx, 0	op@0:8=83 mod@14:2=3 reg@11:3=7 rm@8:3=1 imm@16:8=0x0
3262	16:88da	1	16	88da	2	2	2	-	-	0	88	-	reg_direct	3	3	2	-	-	-	-	0	8	-	0	1	mov dl, bl	op@0:8=88 mod@14:2=3 reg@11:3=3 rm@8:3=2
3260	32:668bf0	1	32	668bf0	3	2	4	-	-	1	8b	-	reg_direct	3	6	0	-	-	-	-	0	8	-	0	1	mov si, ax	pfx@0:8=66 op@8:8=8b mod@22:2=3 reg@19:3=6 rm@16:3=0
3253	16:26803f	1	16	26803ff8	4	2	2	es	-	1	80	7	base16	0	7	7	-	-	-	-	0	8	0xf8	8	1	cmp byte [es:bx], 0xF8	pfx@0:8=26 op@8:8=80 mod@22:2=0 reg@19:3=7 rm@16:3=7 imm@24:8=0xf8
3253	16:26803f	1	16	26803f30	4	2	2	es	-	1	80	7	base16	0	7	7	-	-	-	-	0	8	0x30	8	1	cmp byte [es:bx], 0x30	pfx@0:8=26 op@8:8=80 mod@22:2=0 reg@19:3=7 rm@16:3=7 imm@24:8=0x30
3252	16:39d0	1	16	39d0	2	2	2	-	-	0	39	-	reg_direct	3	2	0	-	-	-	-	0	8	-	0	1	cmp ax, dx	op@0:8=39 mod@14:2=3 reg@11:3=2 rm@8:3=0
3250	32:ff85	1	32	ff856cffffff	6	4	4	-	-	0	ff	0	base_d32	2	0	5	5	-	-	-148	32	40	-	0	1	inc dword [ebp-0x94]	op@0:8=ff mod@14:2=2 reg@11:3=0 rm@8:3=5 disp@16:32=-148
3248	32:885f	1	32	885f01	3	4	4	-	-	0	88	-	base_d8	1	3	7	7	-	-	1	8	16	-	0	1	mov [edi+1], bl	op@0:8=88 mod@14:2=1 reg@11:3=3 rm@8:3=7 disp@16:8=1
3248	32:885f	1	32	885f02	3	4	4	-	-	0	88	-	base_d8	1	3	7	7	-	-	2	8	16	-	0	1	mov [edi+2], bl	op@0:8=88 mod@14:2=1 reg@11:3=3 rm@8:3=7 disp@16:8=2
3242	32:ff32	1	32	ff32	2	4	4	-	-	0	ff	6	base	0	6	2	2	-	-	-	0	8	-	0	1	push dword [edx]	op@0:8=ff mod@14:2=0 reg@11:3=6 rm@8:3=2
3236	32:8d0446	1	32	8d0446	3	4	4	-	-	0	8d	-	sib_base	0	0	4	6	0	1	-	0	16	-	0	1	lea eax, [esi+eax*2]	op@0:8=8d mod@14:2=0 reg@11:3=0 rm@8:3=4 base@16:3=6 index@19:3=0 scale@22:2=1
3226	32:8819	1	32	8819	2	4	4	-	-	0	88	-	base	0	3	1	1	-	-	-	0	8	-	0	1	mov [ecx], bl	op@0:8=88 mod@14:2=0 reg@11:3=3 rm@8:3=1
3224	32:8853	1	32	88534b	3	4	4	-	-	0	88	-	base_d8	1	2	3	3	-	-	75	8	16	-	0	1	mov [ebx+0x4B], dl	op@0:8=88 mod@14:2=1 reg@11:3=2 rm@8:3=3 disp@16:8=75
3224	32:8853	1	32	885302	3	4	4	-	-	0	88	-	base_d8	1	2	3	3	-	-	2	8	16	-	0	1	mov [ebx+2], dl	op@0:8=88 mod@14:2=1 reg@11:3=2 rm@8:3=3 disp@16:8=2
