bytes                 , mode, len,   count, at, pfx, osz, asz, seg, rep  , variant    , arm                   , args                                                                                   , res             , end_expr         , end, end_ok, text
83c104                ,   32,   3,  501325,  0,   0,   4,   4,    ,      , add_mis    , add_mis               , "modrm8{kind=reg_direct,mod=3,reg=0,rm=1};imm8=0x4@16:8                                 ", alu=3           , @modrm8 + 8      ,  24,      1, "add ecx, 4                            "
4a                    ,   32,   1,  489964,  0,   0,   4,   4,    ,      , dec_r      , dec_r                 , opreg=2                                                                                , alu=2           , 8                ,   8,      1, dec edx
85c9                  ,   32,   2,  464196,  0,   0,   4,   4,    ,      , test_mr    , test_mr               , "modrm8{kind=reg_direct,mod=3,reg=1,rm=1};w=1                                           ", alu=7           , @modrm8          ,  16,      1, "test ecx, ecx                         "
771b                  ,   32,   2,  461174,  0,   0,   4,   4,    ,      , jshort     , jshort.nbe            , rel8=0x1b@8:8                                                                          , branch=8        , 8 + 8            ,  16,      1, ja short 0x0000001D
7707                  ,   32,   2,  461174,  0,   0,   4,   4,    ,      , jshort     , jshort.nbe            , rel8=0x7@8:8                                                                           , branch=8        , 8 + 8            ,  16,      1, ja short 9
6a11                  ,   32,   2,  456587,  0,   0,   4,   4,    ,      , push_ib    , push_ib               , imm8=0x11@8:8                                                                          , stack=5         , 8 + 8            ,  16,      1, push 0x11
6a50                  ,   32,   2,  456587,  0,   0,   4,   4,    ,      , push_ib    , push_ib               , imm8=0x50@8:8                                                                          , stack=5         , 8 + 8            ,  16,      1, push 0x50
837df400              ,   32,   4,  450486,  0,   0,   4,   4,    ,      , cmp_mis    , cmp_mis               , "modrm8{kind=base_d8,mod=1,reg=7,rm=5,b=5,disp=-12@16:8};imm8=0x0@24:8                  ", alu=4           , @modrm8 + 8      ,  32,      1, "cmp dword [ebp-0xC], 0                "
837d1017              ,   32,   4,  450486,  0,   0,   4,   4,    ,      , cmp_mis    , cmp_mis               , "modrm8{kind=base_d8,mod=1,reg=7,rm=5,b=5,disp=16@16:8};imm8=0x17@24:8                  ", alu=4           , @modrm8 + 8      ,  32,      1, "cmp dword [ebp+0x10], 0x17            "
ff15580c1480          ,   32,   6,  432862,  0,   0,   4,   4,    ,      , call_m     , call_m                , "modrm8{kind=abs32,mod=0,reg=2,rm=5,disp=-2146169768@16:32}                             ", call=2          , @modrm8          ,  48,      1, call dword [0x80140C58]
ff15280c1480          ,   32,   6,  432862,  0,   0,   4,   4,    ,      , call_m     , call_m                , "modrm8{kind=abs32,mod=0,reg=2,rm=5,disp=-2146169816@16:32}                             ", call=2          , @modrm8          ,  48,      1, call dword [0x80140C28]
ff45f8                ,   32,   3,  426650,  0,   0,   4,   4,    ,      , inc_m      , _                     ,                                                                                        , trap_undefined=1,                  ,    ,       , inc dword [ebp-8]
6685c9                ,   32,   3,  420502,  8,   1,   2,   4,    ,      , test_mr    , test_mr               , "modrm8{kind=reg_direct,mod=3,reg=1,rm=1};w=1                                           ", alu=7           , @modrm8          ,  16,      1, "test cx, cx                           "
8bc1                  ,   32,   2,  406148,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm:reg_direct     , "modrm8{kind=reg_direct,mod=3,reg=0,rm=1}                                               ", move=1          , @modrm8          ,  16,      1, "mov eax, ecx                          "
83ec28                ,   32,   3,  396271,  0,   0,   4,   4,    ,      , sub_mis    , _                     ,                                                                                        , trap_undefined=1,                  ,    ,       , "sub esp, 0x28                         "
83ec0c                ,   32,   3,  396271,  0,   0,   4,   4,    ,      , sub_mis    , _                     ,                                                                                        , trap_undefined=1,                  ,    ,       , "sub esp, 0xC                          "
66890a                ,   32,   3,  395948,  8,   1,   2,   4,    ,      , mov_mr     , mov_mr                , "modrm8{kind=base,mod=0,reg=1,rm=2,b=2};w=1                                             ", move=3          , @modrm8          ,  16,      1, "mov [edx], cx                         "
8bc6                  ,   32,   2,  373930,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm:reg_direct     , "modrm8{kind=reg_direct,mod=3,reg=0,rm=6}                                               ", move=1          , @modrm8          ,  16,      1, "mov eax, esi                          "
83c608                ,   32,   3,  354581,  0,   0,   4,   4,    ,      , add_mis    , add_mis               , "modrm8{kind=reg_direct,mod=3,reg=0,rm=6};imm8=0x8@16:8                                 ", alu=3           , @modrm8 + 8      ,  24,      1, "add esi, 8                            "
83c602                ,   32,   3,  354581,  0,   0,   4,   4,    ,      , add_mis    , add_mis               , "modrm8{kind=reg_direct,mod=3,reg=0,rm=6};imm8=0x2@16:8                                 ", alu=3           , @modrm8 + 8      ,  24,      1, "add esi, 2                            "
668b0a                ,   32,   3,  352268,  8,   1,   2,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=base,mod=0,reg=1,rm=2,b=2};w=1                                             ", move=2          , @modrm8          ,  16,      1, "mov cx, [edx]                         "
46                    ,   32,   1,  349144,  0,   0,   4,   4,    ,      , inc_r      , inc_r                 , opreg=6                                                                                , alu=1           , 8                ,   8,      1, inc esi
66836a0202            ,   32,   5,  342424,  8,   1,   2,   4,    ,      , sub_mis    , _                     ,                                                                                        , trap_undefined=1,                  ,    ,       , "sub word [edx+2], 2                   "
83e810                ,   32,   3,  333917,  0,   0,   4,   4,    ,      , sub_mis    , _                     ,                                                                                        , trap_undefined=1,                  ,    ,       , "sub eax, 0x10                         "
83e850                ,   32,   3,  333917,  0,   0,   4,   4,    ,      , sub_mis    , _                     ,                                                                                        , trap_undefined=1,                  ,    ,       , "sub eax, 0x50                         "
8bc2                  ,   32,   2,  331566,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm:reg_direct     , "modrm8{kind=reg_direct,mod=3,reg=0,rm=2}                                               ", move=1          , @modrm8          ,  16,      1, "mov eax, edx                          "
8901                  ,   32,   2,  325180,  0,   0,   4,   4,    ,      , mov_mr     , mov_mr                , "modrm8{kind=base,mod=0,reg=0,rm=1,b=1};w=1                                             ", move=3          , @modrm8          ,  16,      1, "mov [ecx], eax                        "
85db                  ,   32,   2,  320352,  0,   0,   4,   4,    ,      , test_mr    , test_mr               , "modrm8{kind=reg_direct,mod=3,reg=3,rm=3};w=1                                           ", alu=7           , @modrm8          ,  16,      1, "test ebx, ebx                         "
7203                  ,   32,   2,  314846,  0,   0,   4,   4,    ,      , jshort     , jshort.b              , rel8=0x3@8:8                                                                           , branch=7        , 8 + 8            ,  16,      1, jb short 5
721b                  ,   32,   2,  314846,  0,   0,   4,   4,    ,      , jshort     , jshort.b              , rel8=0x1b@8:8                                                                          , branch=7        , 8 + 8            ,  16,      1, jb short 0x0000001D
0fb706                ,   32,   3,  311316,  0,   0,   4,   4,    ,      , movzx_w    , movzx_w               , "modrm16{kind=base,mod=0,reg=0,rm=6,b=6}                                                ", move=8          , @modrm16         ,  24,      1, "movzx eax, word [esi]                 "
85f6                  ,   32,   2,  292024,  0,   0,   4,   4,    ,      , test_mr    , test_mr               , "modrm8{kind=reg_direct,mod=3,reg=6,rm=6};w=1                                           ", alu=7           , @modrm8          ,  16,      1, "test esi, esi                         "
40                    ,   32,   1,  291572,  0,   0,   4,   4,    ,      , inc_r      , inc_r                 , opreg=0                                                                                , alu=1           , 8                ,   8,      1, inc eax
8b442408              ,   32,   4,  285012,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=sib_d8,mod=1,reg=0,rm=4,b=4,s=0,disp=8@24:8};w=1                           ", move=2          , @modrm8          ,  32,      1, "mov eax, [esp+8]                      "
8b442404              ,   32,   4,  285012,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=sib_d8,mod=1,reg=0,rm=4,b=4,s=0,disp=4@24:8};w=1                           ", move=2          , @modrm8          ,  32,      1, "mov eax, [esp+4]                      "
681e640f00            ,   32,   5,  279154,  0,   0,   4,   4,    ,      , push_iz    , push_iz               , immz=0xf641e@8:32                                                                      , stack=4         , 8 + p.osz*8      ,  40,      1, push 0xF641E
68680b0f00            ,   32,   5,  279154,  0,   0,   4,   4,    ,      , push_iz    , push_iz               , immz=0xf0b68@8:32                                                                      , stack=4         , 8 + p.osz*8      ,  40,      1, push 0xF0B68
a1000b0f00            ,   32,   5,  276614,  0,   0,   4,   4,    ,      , mov_a_moffs, mov_a_moffs           , moffs=0xf0b00@8:32;w=1                                                                 , move=6          , 8 + p.asz*8      ,  40,      1, "mov eax, [0xF0B00]                    "
a150850f00            ,   32,   5,  276614,  0,   0,   4,   4,    ,      , mov_a_moffs, mov_a_moffs           , moffs=0xf8550@8:32;w=1                                                                 , move=6          , 8 + p.asz*8      ,  40,      1, "mov eax, [0xF8550]                    "
33db                  ,   32,   2,  262012,  0,   0,   4,   4,    ,      , xor_rm     , xor_rm                , "modrm8{kind=reg_direct,mod=3,reg=3,rm=3};w=1                                           ", alu=5           , @modrm8          ,  16,      1, "xor ebx, ebx                          "
4e                    ,   32,   1,  259770,  0,   0,   4,   4,    ,      , dec_r      , dec_r                 , opreg=6                                                                                , alu=2           , 8                ,   8,      1, dec esi
807dff00              ,   32,   4,  255814,  0,   0,   4,   4,    ,      , cmp_mi8    , cmp_mi8               , "modrm8{kind=base_d8,mod=1,reg=7,rm=5,b=5,disp=-1@16:8};imm8=0x0@24:8                   ", alu=4           , @modrm8 + 8      ,  32,      1, "cmp byte [ebp-1], 0                   "
c745f8a0000000        ,   32,   7,  254889,  0,   0,   4,   4,    ,      , mov_miz    , mov_miz               , "modrm8{kind=base_d8,mod=1,reg=0,rm=5,b=5,disp=-8@16:8};immz=0xa0@24:32                 ", move=4          , @modrm8 + p.osz*8,  56,      1, "mov dword [ebp-8], 0xA0               "
c745f800000000        ,   32,   7,  254889,  0,   0,   4,   4,    ,      , mov_miz    , mov_miz               , "modrm8{kind=base_d8,mod=1,reg=0,rm=5,b=5,disp=-8@16:8};immz=0x0@24:32                  ", move=4          , @modrm8 + p.osz*8,  56,      1, "mov dword [ebp-8], 0                  "
8d4506                ,   32,   3,  248544,  0,   0,   4,   4,    ,      , lea        , lea:base_d8           , "modrm8{kind=base_d8,mod=1,reg=0,rm=5,b=5,disp=6@16:8}                                  ", move=5          , @modrm8          ,  24,      1, "lea eax, [ebp+6]                      "
8d4501                ,   32,   3,  248544,  0,   0,   4,   4,    ,      , lea        , lea:base_d8           , "modrm8{kind=base_d8,mod=1,reg=0,rm=5,b=5,disp=1@16:8}                                  ", move=5          , @modrm8          ,  24,      1, "lea eax, [ebp+1]                      "
85ff                  ,   32,   2,  246414,  0,   0,   4,   4,    ,      , test_mr    , test_mr               , "modrm8{kind=reg_direct,mod=3,reg=7,rm=7};w=1                                           ", alu=7           , @modrm8          ,  16,      1, "test edi, edi                         "
8b750c                ,   32,   3,  245702,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=base_d8,mod=1,reg=6,rm=5,b=5,disp=12@16:8};w=1                             ", move=2          , @modrm8          ,  24,      1, "mov esi, [ebp+0xC]                    "
8b7508                ,   32,   3,  245702,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=base_d8,mod=1,reg=6,rm=5,b=5,disp=8@16:8};w=1                              ", move=2          , @modrm8          ,  24,      1, "mov esi, [ebp+8]                      "
