count	shape	phase	mode	bytes	len	osz	asz	seg	rep	pfxn	op	fixg	kind	mod	reg	rm	b	x	s	disp	dispbits	modrmbits	imm	immbits	ok	text	fields
442	32:38fc	2	32	38fc	2	4	4	-	-	0	38	-	reg_direct	3	7	4	-	-	-	-	0	8	-	0	1	cmp ah, bh	op@0:8=38 mod@14:2=3 reg@11:3=7 rm@8:3=4
442	16:662bc3	1	16	662bc3	3	4	2	-	-	1	2b	-	reg_direct	3	0	3	-	-	-	-	0	8	-	0	1	sub eax, ebx	pfx@0:8=66 op@8:8=2b mod@22:2=3 reg@19:3=0 rm@16:3=3
441	16:268407	1	16	268407	3	2	2	es	-	1	84	-	base16	0	0	7	-	-	-	-	0	8	-	0	1	test [es:bx], al	pfx@0:8=26 op@8:8=84 mod@22:2=0 reg@19:3=0 rm@16:3=7
441	16:663b56	1	16	663b56ee	4	4	2	-	-	1	3b	-	base16_d8	1	2	6	-	-	-	-18	8	16	-	0	1	cmp edx, [bp-0x12]	pfx@0:8=66 op@8:8=3b mod@22:2=1 reg@19:3=2 rm@16:3=6 disp@24:8=-18
441	16:67663b4b	1	16	67663b4b02	5	4	4	-	-	2	3b	-	base_d8	1	1	3	3	-	-	2	8	16	-	0	1	cmp ecx, [ebx+2]	pfx@0:16=6766 op@16:8=3b mod@30:2=1 reg@27:3=1 rm@24:3=3 disp@32:8=2
441	16:67663b4b	1	16	67663b4b10	5	4	4	-	-	2	3b	-	base_d8	1	1	3	3	-	-	16	8	16	-	0	1	cmp ecx, [ebx+0x10]	pfx@0:16=6766 op@16:8=3b mod@30:2=1 reg@27:3=1 rm@24:3=3 disp@32:8=16
440	16:368126	1	16	3681261106fffe	7	2	2	ss	-	1	81	4	abs16	0	4	6	-	-	-	1553	16	24	0xfeff	16	1	and word [ss:0x611], 0xFEFF	pfx@0:8=36 op@8:8=81 mod@22:2=0 reg@19:3=4 rm@16:3=6 disp@24:16=1553 imm@40:16=0xfeff
440	16:368126	1	16	368126f405ff00	7	2	2	ss	-	1	81	4	abs16	0	4	6	-	-	-	1524	16	24	0xff	16	1	and word [ss:0x5F4], 0xFF	pfx@0:8=36 op@8:8=81 mod@22:2=0 reg@19:3=4 rm@16:3=6 disp@24:16=1524 imm@40:16=0xff
440	32:8d1408	1	32	8d1408	3	4	4	-	-	0	8d	-	sib_base	0	2	4	0	1	0	-	0	16	-	0	1	lea edx, [eax+ecx]	op@0:8=8d mod@14:2=0 reg@11:3=2 rm@8:3=4 base@16:3=0 index@19:3=1 scale@22:2=0
440	16:d0e9	1	16	d0e9	2	2	2	-	-	0	d0	5	reg_direct	3	5	1	-	-	-	-	0	8	-	0	1	shr cl, 1	op@0:8=d0 mod@14:2=3 reg@11:3=5 rm@8:3=1
438	32:8d1c82	1	32	8d1c82	3	4	4	-	-	0	8d	-	sib_base	0	3	4	2	0	2	-	0	16	-	0	1	lea ebx, [edx+eax*4]	op@0:8=8d mod@14:2=0 reg@11:3=3 rm@8:3=4 base@16:3=2 index@19:3=0 scale@22:2=2
438	16:263907	1	16	263907	3	2	2	es	-	1	39	-	base16	0	0	7	-	-	-	-	0	8	-	0	1	cmp [es:bx], ax	pfx@0:8=26 op@8:8=39 mod@22:2=0 reg@19:3=0 rm@16:3=7
436	16:662e8b09	1	16	662e8b09	4	4	2	cs	-	2	8b	-	base16	0	1	1	-	-	-	-	0	8	-	0	1	mov ecx, [cs:bx+di]	pfx@0:16=662e op@16:8=8b mod@30:2=0 reg@27:3=1 rm@24:3=1
436	32:3801	1	32	3801	2	4	4	-	-	0	38	-	base	0	0	1	1	-	-	-	0	8	-	0	1	cmp [ecx], al	op@0:8=38 mod@14:2=0 reg@11:3=0 rm@8:3=1
435	32:2b56	1	32	2b5654	3	4	4	-	-	0	2b	-	base_d8	1	2	6	6	-	-	84	8	16	-	0	1	sub edx, [esi+0x54]	op@0:8=2b mod@14:2=1 reg@11:3=2 rm@8:3=6 disp@16:8=84
435	32:2b56	1	32	2b5608	3	4	4	-	-	0	2b	-	base_d8	1	2	6	6	-	-	8	8	16	-	0	1	sub edx, [esi+8]	op@0:8=2b mod@14:2=1 reg@11:3=2 rm@8:3=6 disp@16:8=8
435	16:368b57	1	16	368b5706	4	2	2	ss	-	1	8b	-	base16_d8	1	2	7	-	-	-	6	8	16	-	0	1	mov dx, [ss:bx+6]	pfx@0:8=36 op@8:8=8b mod@22:2=1 reg@19:3=2 rm@16:3=7 disp@24:8=6
435	16:368b57	1	16	368b5704	4	2	2	ss	-	1	8b	-	base16_d8	1	2	7	-	-	-	4	8	16	-	0	1	mov dx, [ss:bx+4]	pfx@0:8=36 op@8:8=8b mod@22:2=1 reg@19:3=2 rm@16:3=7 disp@24:8=4
