bytes                   , mode, len,    count, at, pfx, osz, asz, seg, rep  , variant    , arm                   , args                                                                                      , res             , end_expr         , end, end_ok, text
3bd3                    ,   32,   2,  1011594,  0,   0,   4,   4,    ,      , cmp_rm     , cmp_rm                , "modrm8{kind=reg_direct,mod=3,reg=2,rm=3};w=1                                              ", alu=4           , @modrm8          ,  16,      1, "cmp edx, ebx                            "
1e                      ,   16,   1,   992266,  0,   0,   2,   2,    ,      , push_ds    , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , push ds
5d                      ,   32,   1,   988904,  0,   0,   4,   4,    ,      , pop_r      , pop_r                 , opreg=5                                                                                   , stack=2         , 8                ,   8,      1, pop ebp
85c0                    ,   32,   2,   944206,  0,   0,   4,   4,    ,      , test_mr    , test_mr               , "modrm8{kind=reg_direct,mod=3,reg=0,rm=0};w=1                                              ", alu=7           , @modrm8          ,  16,      1, "test eax, eax                           "
51                      ,   32,   1,   944032,  0,   0,   4,   4,    ,      , push_r     , push_r                , opreg=1                                                                                   , stack=1         , 8                ,   8,      1, push ecx
4d                      ,   16,   1,   924822,  0,   0,   2,   2,    ,      , dec_r      , dec_r                 , opreg=5                                                                                   , alu=2           , 8                ,   8,      1, dec bp
ff256c1001c0            ,   32,   6,   920866,  0,   0,   4,   4,    ,      , jmp_m      , jmp_m                 , "modrm8{kind=abs32,mod=0,reg=4,rm=5,disp=-1073672084@16:32}                                ", branch=4        , @modrm8          ,  48,      1, jmp dword [0xC001106C]
ff25a40d01c0            ,   32,   6,   920866,  0,   0,   4,   4,    ,      , jmp_m      , jmp_m                 , "modrm8{kind=abs32,mod=0,reg=4,rm=5,disp=-1073672796@16:32}                                ", branch=4        , @modrm8          ,  48,      1, jmp dword [0xC0010DA4]
e916dd                  ,   16,   3,   912857,  0,   0,   2,   2,    ,      , jmp_rel    , jmp_rel               , rel=0xdd16@8:16                                                                           , branch=3        , 8 + p.osz*8      ,  24,      1, jmp 0xDD19
e9a2ff                  ,   16,   3,   912857,  0,   0,   2,   2,    ,      , jmp_rel    , jmp_rel               , rel=0xffa2@8:16                                                                           , branch=3        , 8 + p.osz*8      ,  24,      1, jmp 0xFFA5
8bec                    ,   32,   2,   864752,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm:reg_direct     , "modrm8{kind=reg_direct,mod=3,reg=5,rm=4}                                                  ", move=1          , @modrm8          ,  16,      1, "mov ebp, esp                            "
3480                    ,   16,   2,   814640,  0,   0,   2,   2,    ,      , xor_ai     , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , "xor al, 0x80                            "
e2ef                    ,   32,   2,   800938,  0,   0,   4,   4,    ,      , loop       , loop                  , rel8=0xef@8:8                                                                             , branch=5        , 8 + 8            ,  16,      1, loop 0xFFFFFFF1
e2f5                    ,   32,   2,   800938,  0,   0,   4,   4,    ,      , loop       , loop                  , rel8=0xf5@8:8                                                                             , branch=5        , 8 + 8            ,  16,      1, loop 0xFFFFFFF7
c1e804                  ,   16,   3,   798916,  0,   0,   2,   2,    ,      , shr_mi     , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , "shr ax, 4                               "
c1e808                  ,   16,   3,   798916,  0,   0,   2,   2,    ,      , shr_mi     , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , "shr ax, 8                               "
